table,en,fr,ml,pa,hi,pt,es,it
alt,33 Mariacka Street in Katowice,33 rue Mariacka à Katowice,കാറ്റോവിസിലെ 33 മാരിയാക്ക തെരുവ്,ਕਾਤੋਵੀਤਸੇ ਵਿੱਚ 33 ਮਾਰੀਆਕਾ ਗਲੀ,कातोवित्से में 33 मारियाका स्ट्रीट,Rua Mariacka 33 em Katowice,Calle Mariacka 33 en Katowice,Via Mariacka 33 a Katowice
alt,7 Mariacka Street in Katowice,7 rue Mariacka à Katowice,കാറ്റോവിസിലെ 7 മാരിയാക്ക തെരുവ്,ਕਾਤੋਵੀਤਸੇ ਵਿੱਚ 7 ਮਾਰੀਆਕਾ ਗਲੀ,कातोवित्से में 7 मारियाका स्ट्रीट,Rua Mariacka 7 em Katowice,Calle Mariacka 7 en Katowice,Via Mariacka 7 a Katowice
alt,Agios Minas Cathedral Heraklion,"Cathédrale Agios Minas, Héraklion","ഏജിയോസ് മിനാസ് കത്തീഡ്രൽ, ഹെറാക്ലിയോൺ","ਏਜੀਓਸ ਮੀਨਾਸ ਕੈਥੇਡ੍ਰਲ, ਹੇਰਾਕਲਿਓਨ","एजियोस मिनास कैथेड्रल, हेराक्लिओन","Catedral de Agios Minas, Heraclião","Catedral de Agios Minas, Heraclión","Cattedrale di Agios Minas, Heraklion"
alt,Alhambra Granada,"Alhambra, Grenade","അൽഹാംബ്ര, ഗ്രനാഡ","ਅਲਹਾਮਬਰਾ, ਗ੍ਰਾਨਾਦਾ","अलहाम्ब्रा, ग्रानादा","Alhambra, Granada","Alhambra, Granada","Alhambra, Granada"
alt,Alhambra Palace Granada,"Palais de l'Alhambra, Grenade","അൽഹാംബ്ര കൊട്ടാരം, ഗ്രനാഡ","ਅਲਹਾਮਬਰਾ ਮਹਿਲ, ਗ੍ਰਾਨਾਦਾ","अलहाम्ब्रा महल, ग्रानादा","Palácio de Alhambra, Granada","Palacio de la Alhambra, Granada","Palazzo dell'Alhambra, Granada"
alt,"Alhambra, Generalife and Albayzín, Granada","Alhambra, Generalife et Albaicín, Grenade","അൽഹാംബ്ര, ജനറലിഫെ, അൽബായ്സിൻ, ഗ്രനാഡ","ਅਲਹਾਮਬਰਾ, ਜਨਰਾਲੀਫੇ ਅਤੇ ਅਲਬਾਇਸੀਨ, ਗ੍ਰਾਨਾਦਾ","अलहाम्ब्रा, जेनेरालिफ़े और अल्बाइसिन, ग्रानादा","Alhambra, Generalife e Albaicín, Granada","Alhambra, Generalife y Albaicín, Granada","Alhambra, Generalife e Albayzín, Granada"
alt,"Altar, Collégiale Saint-André (Grenoble)","Autel, Collégiale Saint-André (Grenoble)","അൾത്താര, സാൻ-ആന്ദ്രേ കൊളീജിയറ്റ് (ഗ്രെനോബ്ല്)","ਵੇਦੀ, ਸੈਂ-ਆਂਦ੍ਰੇ ਕਾਲਜੀਏਟ (ਗ੍ਰੇਨੋਬਲ)","वेदी, सैं-आंद्रे कॉलेजिएट (ग्रेनोबल)","Altar, Colegiada de Saint-André (Grenoble)","Altar, Colegiata de Saint-André (Grenoble)","Altare, Collegiata di Saint-André (Grenoble)"
alt,"Altar, Templo Expiatorio del Sagrado Corazón.jpg","Autel, Templo Expiatorio del Sagrado Corazón","അൾത്താര, ടെംപ്ലോ എക്സ്പിയറ്റോറിയോ ഡെൽ സഗ്രാഡോ കൊറാസോൺ","ਵੇਦੀ, ਟੈਂਪਲੋ ਐਕਸਪੀਆਤੋਰੀਓ ਡੇਲ ਸਾਗ੍ਰਾਡੋ ਕੋਰਾਸੋਨ","वेदी, तेम्प्लो एक्सपियातोरियो देल साग्रादो कोराज़ोन","Altar, Templo Expiatório do Sagrado Coração","Altar, Templo Expiatorio del Sagrado Corazón","Altare, Templo Expiatorio del Sagrado Corazón"
alt,"Ancienne pharmacie du Cerf, Strasbourg","Ancienne pharmacie du Cerf, Strasbourg","പുരാതന ഫാർമസി ദ്യൂ സെർഫ്, സ്ട്രാസ്ബൂർഗ്","ਪੁਰਾਣੀ ਫਾਰਮੇਸੀ ਦਯੂ ਸੈਰਫ, ਸਟ੍ਰਾਸਬੁਰਗ","पुरानी फार्मेसी दयू सेरफ़, स्ट्रासबुर्ग","Antiga farmácia du Cerf, Estrasburgo","Antigua farmacia du Cerf, Estrasburgo","Antica farmacia du Cerf, Strasburgo"
alt,Annecy Saint-François-de-Sales (high altar),Annecy Saint-François-de-Sales (maître-autel),ആനസി സാൻ-ഫ്രാൻസ്വ-ദെ-സാൽ (പ്രധാന അൾത്താര),ਐਨੇਸੀ ਸੈਂ-ਫ੍ਰਾਂਸਵਾ-ਦੇ-ਸਾਲ (ਮੁੱਖ ਵੇਦੀ),एनेसी सैं-फ्रांस्वा-दे-साल (मुख्य वेदी),Annecy Saint-François-de-Sales (altar-mor),Annecy Saint-François-de-Sales (altar mayor),Annecy Saint-François-de-Sales (altare maggiore)
