en,fr,ml,pa,hi,pt,es,it
an-amateur,un-amateur,അമച്വർ-ഫോട്ടോഗ്രാഫർ,ਇੱਕ-ਸ਼ੁਕੀਨ,एक-शौकिया-फोटोग्राफर,um-amador,un-aficionado,un-dilettante
architecture,architecture,വാസ്തുവിദ്യ,ਵਾਸਤੂਕਲਾ,वास्तुकला,arquitetura,arquitectura,architettura
beaches,plages,കടൽത്തീരങ്ങൾ,ਬੀਚ,समुद्र-तट,praias,playas,spiagge
boats,bateaux,വള്ളങ്ങൾ,ਕਿਸ਼ਤੀਆਂ,नाव,barcos,barcos,barche
bridges,ponts,പാലങ്ങൾ,ਪੁਲ,पुल,pontes,puentes,ponti
ceilings,toits,മേൽക്കൂരകൾ,ਛੱਤ,छत,tetos,techos,soffitti
celebrations,festivités,ആഘോഷങ്ങൾ,ਜਸ਼ਨ,समारोह,celebrações,celebraciones,celebrazioni
cities,villes,നഗരങ്ങൾ,ਸ਼ਹਿਰ,नगर,cidades,ciudades,città
countries,pays,രാജ്യങ്ങൾ,ਦੇਸ਼,देश,países,países,paesi
cycles,vélos,സൈക്കിളുകൾ,ਸਾਈਕਲ,साइकिलें,ciclos,ciclos,biciclette
doors,portes,വാതിലുകൾ,ਦਰਵਾਜ਼ੇ,दरवाजे,portas,puertas,porte
drawings,dessins,ചിത്രങ്ങൾ,ਚਿੱਤਰਕਾਰੀ,चित्र,desenhos,dibujos,disegni
flowers,fleurs,പൂക്കൾ,ਫੁੱਲ,पुष्प,flores,flores,fiori
food,nourriture,ആഹാരം,ਭੋਜਨ,भोजन,comida,comida,cibo
fractals,fractales,ഫ്രാക്റ്റലുകൾ,ਫ੍ਰੈਕਟਲ,भग्न,fractais,fractales,frattali
heritage-sites,sites-patrimoniaux,പൈതൃക-സൈറ്റുകൾ,ਵਿਰਾਸਤੀ-ਸਥਾਨ,विरासत-स्थल,sítios-do-património,sitios-del-patrimonio,siti-del-patrimonio
historical-monuments,monuments-patrimoniaux,ചരിത്ര-സ്മാരകങ്ങൾ,ਵਿਰਾਸਤੀ-ਸਮਾਰਕ,ऐतिहासिक-स्मारक,monumentos-históricos,monumentos-históricos,monumenti-storici
index,index,index,index,index,index,index,index
installations,installations,ഇൻസ്റ്റലേഷനുകൾ,ਸਥਾਪਨਾਵਾਂ,अधिष्ठापन,instalações,instalaciones,installazioni
lakes,lacs,തടാകങ്ങൾ,ਝੀਲਾਂ,झील,lagos,lagos,laghi
lonely-tree,arbre-solitaire,ഏകാന്ത-വൃക്ഷം,ਇਕੱਲਾ-ਰੁੱਖ,एकान्त-वृक्ष,árvore-solitária,árbol-solitario,albero-solitario
miles-to-go,kilomètres-à-parcourir,മൈലുകൾ-പോകണം,ਸਫ਼ਰ-ਕਰਨ-ਲਈ-ਕਿਲੋਮੀਟਰ-ਹਨ,कई-किलोमीटर-की-यात्रा-करनी-है,milhas-por-percorrer,millas-por-recorrer,miglia-da-percorrere
nature,nature,പ്രകൃതി,ਕੁਦਰਤ,प्रकृति,natureza,naturaleza,natura
nightlife,vie-nocturne,രാത്രി-ജീവിതം,ਰਾਤ-ਦਾ-ਜੀਵਨ,रात-का-जीवन,vida-noturna,vida-nocturna,vita-notturna
pilgrimage,pèlerinage,തീർത്ഥാടനം,ਤੀਰਥ-ਯਾਤਰਾ,तीर्थयात्रा,peregrinação,peregrinación,pellegrinaggio
plants,plantes,സസ്യങ്ങൾ,ਪੌਦੇ,पौधे,plantas,plantas,piante
pride,fierté,അഭിമാനങ്ങൾ,ਮਾਣ,अभिमान,orgulho,orgullo,orgoglio
reflection,reflet,പ്രതിഫലനം,ਪ੍ਰਤੀਬਿੰਬ,प्रतिबिंब,reflexo,reflejo,riflessi
repetition,répétition,ആവർത്തനം,ਦੁਹਰਾਉਣ,दुहराव,repetição,repetición,ripetizione
rivers,fleuves,നദികൾ,ਨਦੀਆਂ,नदियाँ,rios,ríos,fiumi
rocks,rochers,പാറകൾ,ਚੱਟਾਨਾਂ,चट्टानें,rochas,rocas,rocce
seas,mers,കടലുകൾ,ਸਮੁੰਦਰ,समुद्र,mares,mares,mari
software,logiciel,സോഫ്‌റ്റ്‌വെയർ,ਸਾਫਟਵੇਅਰ,सॉफ़्टवेयर,software,software,software
stations,stations,സ്റ്റേഷനുകൾ,ਸਟੇਸ਼ਨ,स्टेशन,estações,estaciones,stazioni
statues,statues,പ്രതിമകൾ,ਮੂਰਤੀਆਂ,प्रतिमाएं,estátuas,estatuas,statue
street-art,art-de-rue,തെരുവ്-കല,ਗਲੀ-ਕਲਾ,सड़क-कला,arte-de-rua,arte-callejero,arte-di-strada
street-lights,éclairage-public,തെരുവ്-വിളക്ക്,ਗਲੀ-ਰੋਸ਼ਨੀ,सड़क-की-रोशनी,candeeiros-de-rua,farolas,lampioni
sunset,coucher-du-soleil,സൂര്യാസ്തമയം,ਸੂਰਜ-ਡੁੱਬਣ,सूर्यास्त,pôr-do-sol,atardecer,tramonto
symmetry,symétrie,സമമിതി,ਸਮਰੂਪਤਾ,समरूपता,simetria,simetría,simmetria
tessellation,pavage,ടെസ്സലേഷൻ,ਟਾਇਲਾਂ,चौकोर,tesselação,teselación,tassellazione
trains,trains,ട്രെയിനുകൾ,ਰੇਲਗੱਡੀਆਂ,रेलगाड़ी,comboios,trenes,treni
trams,trams,ട്രാമുകൾ,ਟਰਾਮ,ट्राम,elétricos,tranvías,tram
trees,arbres,വൃക്ഷങ്ങൾ,ਰੁੱਖ,वृक्ष,árvores,árboles,alberi
villages,villages,ഗ്രാമങ്ങൾ,ਪਿੰਡਾਂ,गाँव,aldeias,pueblos,villaggi
walls,murs,ചുവരുകൾ,ਕੰਧਾਂ,दीवारें,muros,muros,muri
waves,vagues,തിരമാലകൾ,ਲਹਿਰਾਂ,लहरें,ondas,olas,onde
windows,fenêtres,ജനാലകൾ,ਖਿੜਕੀਆਂ,खिड़कियाँ,janelas,ventanas,finestre
